Countries and areas,Latitude,Longitude,OOSR_Pre0Primary_Age_Male,OOSR_Pre0Primary_Age_Female,OOSR_Primary_Age_Male,OOSR_Primary_Age_Female,OOSR_Lower_Secondary_Age_Male,OOSR_Lower_Secondary_Age_Female,OOSR_Upper_Secondary_Age_Male,OOSR_Upper_Secondary_Age_Female,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Age_Male,Completion_Rate_Lower_Secondary_Age_Female,Completion_Rate_Upper_Secondary_Age_Male,Completion_Rate_Upper_Secondary_Age_Female,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate
Cuba,21.521757,77.781167,2,2,1,1,10,10,20,15,100,98,95,98,85,86,0,0,0,0,0,0,0,0,10.17,101.9,41.4,1.64
Cyprus,35.126413,33.429859,1,2,0,1,2,2,6,8,0,0,0,0,0,0,0,74,0,0,56,63,0,0,10.46,99.3,75.9,7.27
Czech Republic,49.817492,15.472962,10,10,1,0,1,2,3,3,0,0,0,0,0,0,97,78,0,0,79,80,0,0,10.7,100.7,64.1,1.93
North Korea,40.339852,127.510093,0,0,0,0,0,0,0,0,100,100,100,100,100,100,94,0,0,0,0,0,0,0,13.89,112.8,27,2.74
Democratic Republic of the Congo,4.038333,21.758664,0,0,0,0,0,0,0,0,67,66,58,52,36,27,0,0,0,0,0,0,0,0,41.18,108,6.6,4.24
Denmark,56.26392,9.501785,2,2,1,0,0,1,11,9,0,0,0,0,0,0,97,80,0,0,84,85,0,0,10.6,101.3,80.6,4.91
Djibouti,11.825138,42.590275,85,88,32,35,48,48,66,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.47,75.3,5.3,10.3
Dominica,15.414999,61.370976,21,7,4,3,3,1,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,114.7,7.2,0
Dominican Republic,18.735693,70.162651,7,6,4,4,6,6,23,21,88,94,76,89,48,66,44,25,21,12,21,9,0,0,19.51,105.7,59.9,5.84
Ecuador,1.831239,78.183406,8,3,0,0,6,3,20,18,98,98,89,92,78,79,74,65,38,48,49,29,0,0,19.72,103.3,44.9,3.97
Egypt,26.820553,30.802498,63,63,0,0,3,2,23,24,91,92,79,81,43,41,0,0,0,0,0,21,0,0,26.38,106.3,35.2,10.76
El Salvador,13.794185,88.89653,18,17,14,13,17,17,33,35,84,89,73,74,34,36,0,0,0,0,0,0,98,98,18.25,94.8,29.4,4.11
Equatorial Guinea,1.650801,10.267895,57,55,56,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.24,61.8,1.9,6.43
Eritrea,15.179384,39.782334,73,73,45,50,32,40,45,53,0,0,0,0,0,0,0,0,0,0,0,0,94,93,30.3,68.4,3.4,5.14
Estonia,58.595272,25.013607,12,12,2,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,89,90,0,0,10.9,97.2,69.6,5.11
Eswatini,26.522503,31.465866,0,0,15,17,3,3,14,18,64,77,47,54,31,33,0,0,0,0,0,0,94,97,0,0,0,0
Ethiopia,9.145,40.489673,62,64,11,18,45,49,73,75,47,48,19,22,11,14,0,0,0,0,0,0,0,0,32.34,101,8.1,2.08
Fiji,17.713371,178.065032,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.28,106.4,16.1,4.1
Finland,61.92411,25.748151,2,3,1,1,1,0,3,5,0,0,0,0,0,0,98,82,0,0,86,85,0,0,8.6,100.2,88.2,6.59
France,46.227638,2.213749,0,0,0,0,1,1,5,4,0,0,0,0,0,0,0,0,94,58,79,79,0,0,11.3,102.5,65.6,8.43
Gabon,0.803689,11.609444,0,0,0,0,0,0,0,0,66,75,32,33,14,14,0,0,0,0,0,0,88,91,31.61,139.9,8.3,20
The Gambia,13.443182,15.310139,42,36,19,10,0,0,0,0,64,60,50,48,33,28,5,0,0,0,0,0,0,0,38.54,98,2.7,9.06
Georgia,42.315407,43.356892,0,0,2,2,1,2,7,4,100,100,98,98,79,83,86,47,0,0,36,39,0,0,13.47,98.6,63.9,14.4
Germany,51.165691,10.451526,1,1,1,0,6,4,12,16,0,0,0,0,0,0,0,0,95,77,79,79,0,0,9.5,104,70.2,3.04
Ghana,7.946527,1.023194,14,12,1,0,13,8,28,28,69,73,45,50,12,9,0,0,0,0,0,0,93,92,29.41,104.8,15.7,4.33
Greece,39.074208,21.824312,6,5,2,1,3,5,4,6,0,0,0,0,0,0,0,0,0,0,69,64,99,99,8.1,99.6,136.6,17.24
Grenada,12.1165,61.679,4,1,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.47,106.9,104.6,0
Guatemala,15.783471,90.230759,16,16,11,10,30,35,57,61,80,76,52,45,27,25,68,52,36,34,30,11,0,0,24.56,101.9,21.8,2.46
Guinea,9.945587,9.696645,57,60,15,29,43,60,59,76,52,39,33,20,22,13,0,0,0,0,0,0,70,43,36.36,91.5,11.6,4.3
Guinea0Bissau,11.803749,15.180413,0,0,0,0,0,0,0,0,29,25,18,16,14,8,0,0,0,0,0,0,0,0,35.13,118.7,2.6,2.47
Guyana,4.860416,58.93018,0,0,0,0,0,0,0,0,96,99,80,88,49,64,0,0,0,0,0,0,0,0,19.97,97.8,11.6,11.85
Haiti,18.971187,72.285215,0,0,0,0,0,0,0,0,49,58,32,38,17,16,0,0,0,0,0,0,0,0,24.35,113.6,1.1,13.78
Vatican City,41.902916,12.453389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,15.199999,86.241905,24,22,11,14,44,31,58,54,81,87,46,52,29,35,70,57,31,32,30,15,95,98,21.6,91.5,26.2,5.39
Hungary,47.162494,19.503304,12,14,4,5,3,3,12,12,0,0,0,0,0,0,0,0,97,75,75,67,0,0,9.6,100.8,48.5,3.4
Iceland,64.963051,19.020835,4,3,0,1,1,0,15,11,0,0,0,0,0,0,0,0,0,0,74,79,0,0,12,100.4,71.8,2.84
India,20.593684,78.96288,0,0,3,1,18,12,47,48,92,91,82,79,46,40,47,53,46,44,0,0,93,90,17.86,113,28.1,5.36
Indonesia,0.789275,113.921327,8,2,3,8,19,14,23,22,91,92,64,59,40,37,0,18,0,0,30,28,100,100,18.07,106.4,36.3,4.69
Iran,32.427908,53.688046,50,49,0,0,3,6,25,27,0,0,0,0,0,0,66,33,0,0,0,34,0,0,18.78,110.7,68.1,11.38
Iraq,33.223191,43.679291,0,0,0,0,0,0,0,0,78,73,46,47,45,43,0,0,0,0,0,0,0,0,29.08,108.7,16.2,12.82
Republic of Ireland,53.41291,8.24389,2,2,0,0,0,0,2,1,0,0,0,0,0,0,98,84,0,0,88,84,0,0,12.5,100.9,77.8,4.93
Israel,31.046051,34.851612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,69,66,0,0,20.8,104.9,63.4,3.86
Italy,41.87194,12.56738,6,7,3,3,2,2,6,5,0,0,0,0,0,0,98,69,0,0,77,62,100,100,7.3,101.9,61.9,9.89
Jamaica,18.109581,77.297508,8,6,0,0,19,17,25,22,99,100,97,97,80,83,0,0,0,0,0,0,0,0,16.1,91,27.1,8
Japan,36.204824,138.252924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,83,89,0,0,7.4,98.8,63.2,2.29
Jordan,31.302848,36.786839,55,55,18,19,29,30,48,43,96,97,86,88,49,63,0,0,0,0,59,41,99,99,21.98,81.5,34.4,14.72
Kazakhstan,48.019573,66.923684,22,23,10,9,0,0,0,0,100,100,100,100,95,96,0,0,98,80,36,51,100,100,21.77,104.4,61.7,4.59
Kenya,0.023559,37.906193,0,0,0,0,0,0,0,0,77,82,61,69,44,38,53,42,0,0,0,0,88,88,28.75,103.2,11.5,2.64
Kiribati,1.8368976,157.3768317,0,0,0,0,0,0,0,0,92,96,69,88,13,20,0,0,0,0,0,0,0,0,27.89,101.3,0,0
Kuwait,29.31166,47.481766,21,16,4,1,9,4,20,17,0,0,0,0,0,0,0,12,0,0,0,18,99,100,13.94,92.4,54.4,2.18
Kyrgyzstan,41.20438,74.766098,11,10,0,0,2,3,30,26,99,100,99,99,89,85,39,0,36,35,0,0,100,100,27.1,107.6,41.3,6.33
Laos,19.85627,102.495496,31,30,8,9,27,28,42,46,84,83,54,53,32,31,0,0,0,0,0,0,0,0,23.55,102.4,15,0.63
Latvia,56.879635,24.603189,2,2,2,1,1,1,5,4,0,0,0,0,0,0,99,0,0,0,78,83,100,100,10,99.4,88.1,6.52
Lebanon,33.854721,35.862285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,35,100,100,17.55,95.1,26.3,6.23
Lesotho,29.609988,28.233608,58,57,3,2,21,13,38,29,69,92,33,55,27,37,13,0,0,0,0,0,0,0,26.81,120.9,10.2,23.41
Liberia,6.428055,9.429499,21,21,22,21,17,26,20,31,36,33,29,23,18,9,0,0,0,0,0,0,0,0,33.04,85.1,11.9,2.81
Libya,26.3351,17.228331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.83,109,60.5,18.56
Liechtenstein,47.1410392,9.520935,1,2,3,2,1,7,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,104.7,35.6,0
Lithuania,55.169438,23.881275,3,3,0,0,0,0,4,2,0,0,0,0,0,0,0,0,97,81,76,74,0,0,10,103.9,72.4,6.35
Luxembourg,49.815273,6.129583,1,1,1,1,4,5,22,17,0,0,0,0,0,0,0,0,0,0,71,73,0,0,10.3,102.3,19.2,5.36
Madagascar,18.766947,46.869107,43,38,0,0,31,29,63,64,52,60,26,27,16,15,13,0,4,5,0,0,82,81,32.66,142.5,5.4,1.76
Malawi,13.254308,34.301525,0,0,0,0,19,18,62,76,43,52,23,21,15,13,0,0,0,0,0,0,0,0,34.12,142.5,0.8,5.65
Malaysia,4.210484,101.975766,1,1,0,0,15,12,41,32,0,0,0,0,0,0,0,0,0,0,54,59,97,97,16.75,105.3,45
